name,state,latitude,longitude,population
"New York City","NY","40.71427","-74.00597","8804190"
"Los Angeles","CA","34.05223","-118.24368","3820914"
"Brooklyn","NY","40.6501","-73.94958","2736074"
"Chicago","IL","41.85003","-87.65005","2664452"
"Queens","NY","40.68149","-73.83652","2316841"
"Houston","TX","29.76328","-95.36327","2314157"
"Phoenix","AZ","33.44838","-112.07404","1650070"
"Philadelphia","PA","39.95238","-75.16362","1573916"
"San Antonio","TX","29.42412","-98.49363","1526656"
"Manhattan","NY","40.78343","-73.96625","1487536"
"San Diego","CA","32.71571","-117.16472","1404452"
"The Bronx","NY","40.84985","-73.86641","1385108"
"Dallas","TX","32.78306","-96.80667","1326087"
"Jacksonville","FL","30.33218","-81.65565","1009833"
"Fort Worth","TX","32.72541","-97.32085","1008106"
"San Jose","CA","37.33939","-121.89496","997368"
"Austin","TX","30.26715","-97.74306","974447"
"Columbus","OH","39.96118","-82.99879","913175"
"Charlotte","NC","35.22709","-80.84313","911311"
"Indianapolis","IN","39.76838","-86.15804","887642"
"San Francisco","CA","37.77493","-122.41942","827526"
"Seattle","WA","47.60621","-122.33207","780995"
"Denver","CO","39.73915","-104.9847","729019"
"Washington","DC","38.89511","-77.03637","689545"
"Nashville","TN","36.16589","-86.78444","689447"
"Oklahoma City","OK","35.46756","-97.51643","681054"
"El Paso","TX","31.75872","-106.48693","678815"
"Boston","MA","42.35843","-71.05977","653833"
"Portland","OR","45.52345","-122.67621","652503"
"Detroit","MI","42.33143","-83.04575","645705"
"Las Vegas","NV","36.17497","-115.13722","641903"
"New South Memphis","TN","35.08676","-90.05676","641608"
"Memphis","TN","35.14953","-90.04898","633104"
"Louisville","KY","38.25424","-85.75941","624444"
"Baltimore","MD","39.29038","-76.61219","585708"
"South Boston","MA","42.33343","-71.04949","571281"
"Albuquerque","NM","35.08449","-106.65114","564559"
"Milwaukee","WI","43.0389","-87.90647","563531"
"Tucson","AZ","32.22174","-110.92648","542629"
"Fresno","CA","36.74773","-119.77237","542107"
"Sacramento","CA","38.58157","-121.4944","524943"
"Atlanta","GA","33.749","-84.38798","510823"
"Miami","FL","25.77427","-80.19366","487014"
"Omaha","NE","41.25626","-95.94043","486051"
"Raleigh","NC","35.7721","-78.63861","482295"
"Kansas City","MO","39.09973","-94.57857","475378"
"Long Beach","CA","33.76696","-118.18923","474140"
"Mesa","AZ","33.42227","-111.82264","471825"
"Staten Island","NY","40.56233","-74.13986","468730"
"Colorado Springs","CO","38.83388","-104.82136","456568"
"Virginia Beach","VA","36.85293","-75.97799","454808"
"Oakland","CA","37.80437","-122.2708","419267"
"Tampa","FL","27.94752","-82.45843","414547"
"Tulsa","OK","36.15398","-95.99277","413066"
"Minneapolis","MN","44.97997","-93.26384","410939"
"Wichita","KS","37.69224","-97.33754","396119"
"Arlington","TX","32.73569","-97.10807","388125"
"Bakersfield","CA","35.37329","-119.01871","373640"
"Cleveland","OH","41.4995","-81.69541","365379"
"New Orleans","LA","29.95465","-90.07507","362701"
"Aurora","CO","39.72943","-104.83192","359407"
"Honolulu","HI","21.30694","-157.85833","350964"
"Anaheim","CA","33.83529","-117.9145","350742"
"West Raleigh","NC","35.78682","-78.66389","338759"
"Orlando","FL","28.53834","-81.37924","334854"
"Lexington","KY","37.98869","-84.47772","320347"
"Riverside","CA","33.95335","-117.39616","317261"
"Corpus Christi","TX","27.80058","-97.39638","316239"
"Lexington-Fayette","KY","38.0498","-84.45855","314488"
"Cincinnati","OH","39.12711","-84.51439","311097"
"Santa Ana","CA","33.74557","-117.86783","310227"
"Stockton","CA","37.9577","-121.29078","305658"
"Pittsburgh","PA","40.44062","-79.99589","304391"
"Saint Paul","MN","44.94441","-93.09327","303176"
"Lincoln","NE","40.8","-96.66696","294757"
"Anchorage","AK","61.21806","-149.90028","289600"
"Meads","KY","38.41258","-82.70905","288649"
"Henderson","NV","36.0397","-114.98194","285667"
"Greensboro","NC","36.07264","-79.79198","285342"
"Plano","TX","33.01984","-96.69889","283558"
"Newark","NJ","40.73566","-74.17237","281944"
"Madison","WI","43.07305","-89.40123","280305"
"St. Louis","MO","38.62727","-90.19789","279695"
"Chula Vista","CA","32.64005","-117.0842","265757"
"Toledo","OH","41.66394","-83.55521","265638"
"Jersey City","NJ","40.72816","-74.07764","264290"
"Reno","NV","39.52963","-119.8138","264165"
"Chandler","AZ","33.30616","-111.84125","260828"
"Fort Wayne","IN","41.1306","-85.12886","260326"
"Buffalo","NY","42.88645","-78.87837","258071"
"Durham","NC","35.99403","-78.89862","257636"
"St. Petersburg","FL","27.77086","-82.67927","257083"
"Irvine","CA","33.66946","-117.82311","256927"
"Laredo","TX","27.50641","-99.50754","256153"
"Lubbock","TX","33.57786","-101.85517","249042"
"Gilbert","AZ","33.35283","-111.78903","247542"
"Tri-Cities","WA","46.2454","-119.19617","244036"
"Winston-Salem","NC","36.09986","-80.24422","241218"
"Glendale","AZ","33.53865","-112.18599","240126"
"Norfolk","VA","36.84681","-76.28522","238005"
"Hialeah","FL","25.8576","-80.27811","237069"
"Garland","TX","32.91262","-96.63888","236897"
"Scottsdale","AZ","33.50921","-111.89903","236839"
"Irving","TX","32.81402","-96.94889","236607"
"Boise","ID","43.6135","-116.20345","235684"
"Chesapeake","VA","36.81904","-76.27494","235429"
"North Las Vegas","NV","36.19886","-115.1175","234807"
"Fremont","CA","37.54827","-121.98857","232206"
"Spokane","WA","47.65966","-117.42908","229447"
"Baton Rouge","LA","30.44332","-91.18747","227470"
"Upper West Side","NY","40.78705","-73.97542","226989"
"Richmond","VA","37.55376","-77.46026","226610"
"Paradise","NV","36.09719","-115.14666","223167"
"Tacoma","WA","47.25288","-122.44429","222906"
"Jamaica","NY","40.69149","-73.80569","216866"
"San Bernardino","CA","34.10834","-117.28977","216108"
"Salt Lake City","UT","40.76078","-111.89105","215548"
"Huntsville","AL","34.7304","-86.58594","215006"
"Des Moines","IA","41.60054","-93.60911","214133"
"Fontana","CA","34.09223","-117.43505","212704"
"Modesto","CA","37.6391","-120.99688","211266"
"Rochester","NY","43.15478","-77.61556","209802"
"Maryvale","AZ","33.50199","-112.17765","208189"
"Arlington","VA","38.88101","-77.10428","207627"
"Oxnard","CA","34.1975","-119.17705","207254"
"Columbus","GA","32.46098","-84.98771","206922"
"Worcester","MA","42.26259","-71.80229","206518"
"Moreno Valley","CA","33.93752","-117.23059","204198"
"Little Rock","AR","34.74648","-92.28959","202591"
"Fayetteville","NC","35.05266","-78.87836","201963"
"Huntington Beach","CA","33.6603","-117.99923","201899"
"Tallahassee","FL","30.43826","-84.28073","201731"
"Yonkers","NY","40.9304","-73.89789","201116"
"Glendale","CA","34.14251","-118.25508","201020"
"Cypress","TX","29.96911","-95.69717","200839"
"Aurora","IL","41.76058","-88.32007","200661"
"Amarillo","TX","35.222","-101.8313","198645"
"Akron","OH","41.08144","-81.51901","197542"
"Vancouver","WA","45.63873","-122.66149","196442"
"Birmingham","AL","33.52066","-86.80249","196357"
"Montgomery","AL","32.36681","-86.29997","195287"
"Grand Rapids","MI","42.96336","-85.66809","195097"
"Peoria","AZ","33.5806","-112.23738","190985"
"Providence","RI","41.82399","-71.41283","190934"
"Knoxville","TN","35.96064","-83.92074","190740"
"Sunrise Manor","NV","36.21108","-115.07306","189372"
"Grand Prairie","TX","32.74596","-96.99778","187809"
"Shreveport","LA","32.52515","-93.75018","187593"
"Brownsville","TX","25.90175","-97.49748","186738"
"Overland Park","KS","38.98223","-94.67079","186515"
"Newport News","VA","36.98038","-76.42975","186247"
"Mobile","AL","30.69436","-88.04305","183289"
"Fort Lauderdale","FL","26.12231","-80.14338","183146"
"Santa Clarita","CA","34.39166","-118.54259","182371"
"Chattanooga","TN","35.04563","-85.30968","181099"
"East Flatbush","NY","40.65371","-73.93042","178464"
"Spring Valley","NV","36.10803","-115.245","178395"
"Santa Rosa","CA","38.44047","-122.71443","178127"
"Eugene","OR","44.05207","-123.08675","176654"
"Tempe","AZ","33.41477","-111.90931","175826"
"Oceanside","CA","33.19587","-117.37948","175691"
"Salem","OR","44.9429","-123.0351","175535"
"Garden Grove","CA","33.77391","-117.94145","175393"
"Rancho Cucamonga","CA","34.1064","-117.59311","175236"
"Cape Coral","FL","26.56285","-81.94953","175229"
"East New York","NY","40.66677","-73.88236","173198"
"Sioux Falls","SD","43.54369","-96.72796","171544"
"Ontario","CA","34.06334","-117.65089","171214"
"Fort Collins","CO","40.58526","-105.08442","170924"
"Springfield","MO","37.21533","-93.29824","170188"
"Hollywood","CA","34.09834","-118.32674","167664"
"Elk Grove","CA","38.4088","-121.37162","166913"
"Clarksville","TN","36.52977","-87.35945","166722"
"Pembroke Pines","FL","26.00315","-80.22394","166611"
"Deer Valley","AZ","33.68393","-112.13488","165656"
"Murfreesboro","TN","35.84562","-86.39027","165430"
"Port Saint Lucie","FL","27.29393","-80.35033","164603"
"Corona","CA","33.87529","-117.56644","164226"
"McKinney","TX","33.19762","-96.61527","162898"
"Lancaster","CA","34.69804","-118.13674","161103"
"Cary","NC","35.79154","-78.78112","159769"
"Alexandria","VA","38.80484","-77.04692","159467"
"Tempe Junction","AZ","33.41421","-111.94348","158368"
"Palmdale","CA","34.57943","-118.11646","158351"
"Hayward","CA","37.66882","-122.0808","158289"
"Salinas","CA","36.67774","-121.6555","157380"
"Sunnyvale","CA","37.36883","-122.03635","155805"
"Frisco","TX","33.15067","-96.82361","154407"
"Springfield","MA","42.10148","-72.58981","154341"
"East Chattanooga","TN","35.06535","-85.24912","154024"
"Pasadena","TX","29.69106","-95.2091","153784"
"Jackson","MS","32.29876","-90.18481","153701"
"Pomona","CA","34.05529","-117.75228","153266"
"Kansas City","KS","39.11417","-94.62746","152933"
"Washington Heights","NY","40.8501","-73.93541","152613"
"Lakewood","CO","39.70471","-105.08137","152597"
"Escondido","CA","33.11921","-117.08642","151038"
"Astoria","NY","40.77205","-73.93014","150165"
"Hollywood","FL","26.0112","-80.14949","149728"
"Borough Park","NY","40.63399","-73.99681","149248"
"Valencia","CA","34.44361","-118.60953","148456"
"Rockford","IL","42.27113","-89.094","148278"
"East Hampton","VA","37.03737","-76.33161","147993"
"Joliet","IL","41.52519","-88.0834","147861"
"Savannah","GA","32.08354","-81.09983","147780"
"Paterson","NJ","40.91677","-74.17181","147754"
"Bridgeport","CT","41.17923","-73.18945","147629"
"Naperville","IL","41.78586","-88.14729","147100"
"Gainesville","FL","29.65163","-82.32483","145214"
"Mesquite","TX","32.7668","-96.59916","144788"
"Syracuse","NY","43.04812","-76.14742","144142"
"Torrance","CA","33.83585","-118.34063","143592"
"Surprise","AZ","33.63059","-112.33322","143148"
"Metairie Terrace","LA","29.97854","-90.16396","142489"
"Columbia","SC","34.00071","-81.03481","142416"
"Pasadena","CA","34.14778","-118.14452","142250"
"Orange","CA","33.78779","-117.85311","140992"
"Fullerton","CA","33.87029","-117.92534","140847"
"Killeen","TX","31.11712","-97.7278","140806"
"McAllen","TX","26.20341","-98.23001","140269"
"Bellevue","WA","47.61038","-122.20068","139820"
"Metairie","LA","29.98409","-90.15285","138481"
"Hampton","VA","37.02987","-76.34522","137148"
"Miramar","FL","25.98731","-80.23227","137132"
"Van Nuys","CA","34.18667","-118.44897","136443"
"West Valley City","UT","40.69161","-112.00105","136208"
"Dayton","OH","39.75895","-84.19161","135512"
"Olathe","KS","38.8814","-94.81913","134305"
"Warren","MI","42.49044","-83.01304","134056"
"Thornton","CO","39.86804","-104.97192","133451"
"Carrollton","TX","32.95373","-96.89028","133168"
"Charleston","SC","32.77632","-79.93275","132609"
"Midland","TX","31.99735","-102.07791","132524"
"Waco","TX","31.54933","-97.14667","132356"
"Sterling Heights","MI","42.58031","-83.0302","132052"
"Denton","TX","33.21484","-97.13307","131044"
"Cedar Rapids","IA","42.00833","-91.64407","130405"
"New Haven","CT","41.30815","-72.92816","130322"
"Roseville","CA","38.75212","-121.28801","130269"
"Visalia","CA","36.33023","-119.29206","130104"
"Coral Springs","FL","26.27119","-80.2706","129485"
"Thousand Oaks","CA","34.17056","-118.83759","129339"
"Columbia","MO","38.95171","-92.33407","129330"
"Elizabeth","NJ","40.66399","-74.2107","129007"
"Stamford","CT","41.05343","-73.53873","128874"
"Concord","CA","37.97798","-122.03107","128667"
"Norman","OK","35.22257","-97.43948","128026"
"Alhambra","AZ","33.49838","-112.13432","127764"
"Athens","GA","33.96095","-83.37794","127315"
"Kent","WA","47.38093","-122.23484","126952"
"Simi Valley","CA","34.26945","-118.78148","126788"
"East Los Angeles","CA","34.0239","-118.17202","126496"
"Santa Clara","CA","37.35411","-121.95524","126215"
"Sunset Park","NY","40.64548","-74.01241","126000"
"Topeka","KS","39.04833","-95.67804","125963"
"Abilene","TX","32.44874","-99.73314","125182"
"Koreatown","CA","34.05779","-118.30091","124281"
"Sheepshead Bay","NY","40.59122","-73.94458","122534"
"Amherst","NY","42.97839","-78.79976","122366"
"Victorville","CA","34.53611","-117.29116","122225"
"Vallejo","CA","38.10409","-122.25664","121692"
"Lafayette","LA","30.22409","-92.01984","121374"
"Chico","CA","39.72849","-121.83748","121345"
"North Stamford","CT","41.13815","-73.54346","121230"
"Hartford","CT","41.76371","-72.68509","121054"
"Berkeley","CA","37.87159","-122.27275","120972"
"West Palm Beach","FL","26.71534","-80.05337","120932"
"Allentown","PA","40.60843","-75.49018","120207"
"Evansville","IN","37.97476","-87.55585","119943"
"Palm Bay","FL","28.03446","-80.58866","119760"
"Fargo","ND","46.87719","-96.7898","118523"
"Clearwater","FL","27.96585","-82.8001","117292"
"Independence","MO","39.09112","-94.41551","117255"
"Billings","MT","45.78329","-108.50069","117116"
"Ann Arbor","MI","42.27756","-83.74088","117070"
"El Monte","CA","34.06862","-118.02757","116732"
"Harlem","NY","40.80788","-73.94542","116345"
"Westminster","CO","39.83665","-105.0372","116317"
"Round Rock","TX","30.50826","-97.6789","115997"
"Wilmington","NC","34.23556","-77.94604","115933"
"East Harlem","NY","40.79472","-73.9425","115921"
"Arvada","CO","39.80276","-105.08748","115368"
"Beaumont","TX","30.08605","-94.10185","115282"
"Provo","UT","40.23384","-111.65853","115162"
"Peoria","IL","40.69365","-89.58899","115070"
"Carlsbad","CA","33.15809","-117.35059","114746"
"Odessa","TX","31.84568","-102.36764","114428"
"Springfield","IL","39.80172","-89.64371","114394"
"Downey","CA","33.94001","-118.13257","114219"
"Elmhurst","NY","40.73649","-73.87791","113364"
"Costa Mesa","CA","33.64113","-117.91867","113204"
"Miami Gardens","FL","25.94204","-80.2456","113187"
"North Peoria","IL","40.71754","-89.58426","113004"
"Fairfield","CA","38.24936","-122.03997","112970"
"Lansing","MI","42.73253","-84.55553","112644"
"Bushwick","NY","40.69427","-73.91875","112620"
"Gravesend","NY","40.5976","-73.96514","112229"
"Rochester","MN","44.02163","-92.4699","112225"
"Elgin","IL","42.03725","-88.28119","112111"
"West Jordan","UT","40.60967","-111.9391","111946"
"Inglewood","CA","33.96168","-118.35313","111666"
"Tuscaloosa","AL","33.20984","-87.56917","111338"
"Richardson","TX","32.94818","-96.72972","110815"
"Lowell","MA","42.63342","-71.31617","110699"
"East Independence","MO","39.09556","-94.35523","110675"
"Gresham","OR","45.49818","-122.43148","110553"
"Antioch","CA","38.00492","-121.80579","110542"
"Cambridge","MA","42.3751","-71.10561","110402"
"High Point","NC","35.95569","-80.00532","110268"
"Manchester","NH","42.99564","-71.45479","110229"
"Temecula","CA","33.49364","-117.14836","110003"
"Murrieta","CA","33.55391","-117.21392","109830"
"Centennial","CO","39.57916","-104.87692","109741"
"Richmond","CA","37.93576","-122.34775","109708"
"Corona","NY","40.74705","-73.86014","109698"
"Pueblo","CO","38.25445","-104.60914","109412"
"Pearland","TX","29.56357","-95.28605","108821"
"Waterbury","CT","41.55815","-73.0515","108802"
"Greeley","CO","40.42331","-104.70913","108795"
"West Covina","CA","34.06862","-117.93895","108484"
"Enterprise","NV","36.02525","-115.24194","108481"
"North Charleston","SC","32.85462","-79.97481","108304"
"Everett","WA","47.97898","-122.20208","108010"
"College Station","TX","30.62798","-96.33441","107889"
"Pompano Beach","FL","26.23786","-80.12477","107762"
"South Fulton","GA","33.59259","-84.67294","107436"
"Norwalk","CA","33.90224","-118.08173","107140"
"Boulder","CO","40.01499","-105.27055","106803"
"Broken Arrow","OK","36.0526","-95.79082","106563"
"Daly City","CA","37.70577","-122.46192","106562"
"Sandy Springs","GA","33.92427","-84.37854","105330"
"Burbank","CA","34.18084","-118.30897","105319"
"Green Bay","WI","44.51916","-88.01983","105207"
"Santa Maria","CA","34.95303","-120.43572","105093"
"Universal City","CA","34.1389","-118.35341","105000"
"Wichita Falls","TX","33.91371","-98.49339","104710"
"Lakeland","FL","28.03947","-81.9498","104401"
"Clovis","CA","36.82523","-119.70292","104180"
"Lewisville","TX","33.04623","-96.99417","104039"
"Tyler","TX","32.35126","-95.30106","103700"
"El Cajon","CA","32.79477","-116.96253","103679"
"San Mateo","CA","37.56299","-122.32553","103536"
"Brandon","FL","27.9378","-82.28592","103483"
"Rialto","CA","34.1064","-117.37032","103132"
"Davenport","IA","41.52364","-90.57764","102582"
"Edison","NJ","40.51872","-74.4121","102548"
"Hillsboro","OR","45.52289","-122.98983","102347"
"Las Cruces","NM","32.31232","-106.77834","101643"
"South Bend","IN","41.68338","-86.25001","101516"
"Albany","NY","42.65258","-73.75623","101228"
"New Bedford","MA","41.63526","-70.92701","101079"
"Vista","CA","33.20004","-117.24254","100890"
"Davie","FL","26.06287","-80.2331","100882"
"Chinatown","CA","37.7966","-122.40858","100574"
"Renton","WA","47.48288","-122.21707","100242"
"Roanoke","VA","37.27097","-79.94143","100011"
"San Angelo","TX","31.46377","-100.43704","99893"
"Kenosha","WI","42.58474","-87.82119","99858"
"Clinton Township","MI","42.58698","-82.91992","99753"
"Columbia","MD","39.24038","-76.83942","99615"
"Erie","PA","42.12922","-80.08506","99475"
"Portsmouth Heights","VA","36.82098","-76.36883","99049"
"Richmond Hill","NY","40.69983","-73.83125","98984"
"Alief","TX","29.71106","-95.59633","98725"
"Spring Hill","FL","28.47688","-82.52546","98621"
"Compton","CA","33.89585","-118.22007","98462"
"League City","TX","29.50745","-95.09493","98312"
"Flint","MI","43.01253","-83.68746","98310"
"Allen","TX","33.10317","-96.67055","98143"
"Dorchester","MA","42.29732","-71.0745","97826"
"Mission Viejo","CA","33.60002","-117.672","97156"
"Vacaville","CA","38.35658","-121.98774","96803"
"Ventura","CA","34.27834","-119.29317","96769"
"Highlands Ranch","CO","39.55388","-104.96943","96713"
"Lawton","OK","34.60869","-98.39033","96655"
"Beaverton","OR","45.48706","-122.80371","96577"
"South Gate","CA","33.95474","-118.21202","96401"
"Portsmouth","VA","36.83543","-76.29827","96201"
"Sparks","NV","39.53491","-119.75269","96094"
"Yuma","AZ","32.72532","-114.6244","95548"
"Brockton","MA","42.08343","-71.01838","95314"
"Dearborn","MI","42.32226","-83.17631","95171"
"Federal Way","WA","47.32232","-122.31262","95171"
"Lee's Summit","MO","38.91084","-94.38217","95094"
"Asheville","NC","35.60095","-82.55402","95056"
"Spokane Valley","WA","47.67323","-117.23937","94919"
"Fordham","NY","40.85927","-73.89847","94678"
"Livonia","MI","42.36837","-83.35271","94635"
"Roswell","GA","34.02316","-84.36159","94501"
"Orem","UT","40.2969","-111.69465","94457"
"Fall River","MA","41.70149","-71.15505","94000"
"Lawrence","KS","38.97167","-95.23525","93917"
"The Woodlands","TX","30.15799","-95.48938","93847"
"West Albany","NY","42.68313","-73.77845","93794"
"Yakima","WA","46.60207","-120.5059","93701"
"Quincy","MA","42.25288","-71.00227","93618"
"Flatbush","NY","40.65205","-73.95903","93361"
"Hesperia","CA","34.42639","-117.30088","93295"
"Carson","CA","33.83141","-118.28202","93281"
"Boca Raton","FL","26.35869","-80.0831","93235"
"Santa Monica","CA","34.01949","-118.49138","93220"
"San Marcos","CA","33.14337","-117.16614","92931"
"Boyle Heights","CA","34.0339","-118.20535","92785"
"Plantation","FL","26.13421","-80.23184","92560"
"Lynn","MA","42.46676","-70.94949","92457"
"Miami Beach","FL","25.79065","-80.13005","92312"
"Arden-Arcade","CA","38.6025","-121.37854","92186"
"Westminster","CA","33.75918","-118.00673","92114"
"Longmont","CO","40.16721","-105.10193","92088"
"Santa Barbara","CA","34.42083","-119.69819","91842"
"Redding","CA","40.58654","-122.39168","91582"
"Macon","GA","32.84069","-83.6324","91351"
"Meridian","ID","43.61211","-116.39151","90739"
"San Leandro","CA","37.72493","-122.15608","90712"
"Greenville","NC","35.61266","-77.36635","90597"
"Edmond","OK","35.65283","-97.4781","90092"
"Chinatown","NY","40.71649","-73.99625","90000"
"Nampa","ID","43.54072","-116.56346","89839"
"Trenton","NJ","40.21705","-74.74294","89620"
"Sandy Hills","UT","40.58106","-111.85077","89575"
"Newton","MA","42.33704","-71.20922","88817"
"Toms River","NJ","39.95373","-74.19792","88791"
"Carmel","IN","39.97837","-86.11804","88713"
"Norwalk","CT","41.1176","-73.4079","88485"
"Waukegan","IL","42.36363","-87.84479","88475"
"Deltona","FL","28.90054","-81.26367","88474"
"Hawthorne","CA","33.9164","-118.35257","88451"
"Fort Smith","AR","35.38592","-94.39855","88194"
"Suffolk","VA","36.72836","-76.58496","88161"
"Sugar Land","TX","29.61968","-95.63495","88156"
"Livermore","CA","37.68187","-121.76801","88126"
"Nashua","NH","42.76537","-71.46757","87970"
"Reading","PA","40.33565","-75.92687","87879"
"Concord","NC","35.40888","-80.58158","87696"
"Indio","CA","33.7207","-116.21677","87533"
"Enchanted Hills","NM","35.33676","-106.59296","87521"
"Rio Rancho","NM","35.23338","-106.66447","87521"
"Santa Fe","NM","35.68698","-105.9378","87505"
"Sandy","UT","40.59161","-111.8841","87461"
"Whittier","CA","33.97918","-118.03284","87438"
"Canarsie","NY","40.64372","-73.90069","87366"
"Kirkland","WA","47.68149","-122.20874","87281"
"Menifee","CA","33.72835","-117.14642","87174"
"Newport Beach","CA","33.61891","-117.92895","87127"
"Tracy","CA","37.73987","-121.42618","87075"
"Citrus Heights","CA","38.70712","-121.28106","87056"
"Bend","OR","44.05817","-121.31531","87014"
"Canton","MI","42.30865","-83.48216","86825"
"Lehigh Acres","FL","26.62535","-81.6248","86784"
"Greenburgh","NY","41.03287","-73.84291","86764"
"Bloomington","MN","44.8408","-93.29828","86435"
"West Town","IL","41.89381","-87.67493","86429"
"Germantown","MD","39.17316","-77.27165","86395"
"Clifton","NJ","40.85843","-74.16376","86334"
"Duluth","MN","46.78327","-92.10658","86110"
"Champaign","IL","40.11642","-88.24338","86096"
"Near North Side","IL","41.90003","-87.6345","85711"
"Chino","CA","34.01223","-117.68894","85595"
"Alhambra","CA","34.09529","-118.12701","85551"
"Ogden","UT","41.223","-111.97383","85444"
"Redwood City","CA","37.48522","-122.23635","85288"
"Bellingham","WA","48.75955","-122.48822","85146"
"O'Fallon","MO","38.81061","-90.69985","85040"
"Hoover","AL","33.40539","-86.81138","84848"
"Melbourne","FL","28.08363","-80.60811","84678"
"Danbury","CT","41.39482","-73.45401","84657"
"East Norwalk","CT","41.10565","-73.39845","84530"
"Edinburg","TX","26.30174","-98.16334","84497"
"Sunrise","FL","26.13397","-80.1131","84439"
"Bloomington","IN","39.16533","-86.52639","84067"
"Cicero","IL","41.84559","-87.75394","83886"
"Hemet","CA","33.74761","-116.97307","83861"
"San Pedro","CA","33.73585","-118.29229","83556"
"Ahwatukee Foothills","AZ","33.34171","-111.98403","83464"
"Johns Creek","GA","34.02893","-84.19858","83335"
"Mission","TX","26.21591","-98.32529","83298"
"Troy","MI","42.60559","-83.14993","83280"
"Buena Park","CA","33.86751","-117.99812","83270"
"Mid-City","CA","34.04126","-118.36058","83000"
"Palm Coast","FL","29.58497","-81.20784","82893"
"Fayetteville","AR","36.06258","-94.15743","82830"
"Sioux City","IA","42.49999","-96.40031","82821"
"Lake Forest","CA","33.64697","-117.68922","82492"
"Merced","CA","37.30216","-120.48297","82436"
"Longview","TX","32.5007","-94.74049","82287"
"Bryan","TX","30.67436","-96.36996","82118"
